FirstSurvey,Status,StatusOther,Field,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,FieldOther,NumWorkshops,TimeSinceWorkshop,WhichCarpentry,ContentCovered,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,ContentCoveredOther,Behaviors,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,BehaviorsOther,ProgrammingBefore,ProgrammingSince,ChangeInConfidence,HowToolsHelped,Column34,Column35,Column36,Column37,HowToolsHelpedOther,Writing,WritingResponse,OtherTopics,AdvanceCareer,MotivatedSeekKnowledge,AnalysesReproducible,ProfessionalRecognition,Column42,ImproveResearchProductivity,GainedConfidence,ImpactResponse,Country,Gender,Race,Column45,Column46,Column47,Column48,Column49,Column50,Involvement,Column51,Column52,Column53,Column54,Column55,Column56,Column57,InvolvementOther,ContinuousLearning,Column59,Column60,Column61,Column62,Column63,ContinousLearningOther,Recommended,LikelyToRecommend,OutcomesResponse,NotApplyingSkillsResponse,AdditionalCommentsResponse
,Industry,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,,R,,,,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Weekly.,Daily.,I’m more confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,,,,,,,,,,,,,Became a workshop helper.,,,,,,,,,,,,,,Yes.,9,,,
,Faculty,,,Biomedical/Health Sciences,,,,,,,,,,,,2,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,,,,,,,,Less than once per year.,Several times per year.,I’m equally confident now.,,,,,,I am using some of the tools - but through doing some more intensive moocs - I did not feel I left swc with the confidence and skills I needed to actually put the tools learned to use. I also had used most of the tools in the past. ,No.,,,Disagree,Strongly agree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,Yes.,9,,,
,Other Academic Staff,Research Staff,,,,,,,Humanities,,,,,,Digital Humanities,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,,,Reusing code.,Using version control to manage code.,,,Got involved with promoting better ereseach practices,I had not been using tools like these.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Better methodology and approch to working with data,"Happy with current toolsets, but one thing that could assist is case studies to use in show an tells of what is possible",Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Opened my eyes to what a community looks like,,,,,,,,,,Subscribed to the newsletter.,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,,Joined a mentoring group.,,Contributed to a Carpentry lesson.,,,,Participated in a Meetup.,,,Used non-Carpentry self-guided material.,,Yes.,10,Better approach to using data in research  Got me involved in community building,na,
,Faculty,,,,,,,,,,,,,Social Sciences,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Several times per year.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,"It allowed the collection and analysis of data that I could not have done prior to the workshop. Also, I started saving my dissertation (and all other writing) with git to back it up, which made versioning much, much more efficient than multiple copies of word files (I also shifted to text files)","There haven't been any classes in my relatively remote area. I'd take on the same topic, but more advanced if I could.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,I went from a dilettante outsider to a member of the data community.,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Postdoc,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,,,,,,R,Spreadsheets,SQL,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,,Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,,,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,Subscribed to the newsletter.,Attended at least one community call.,,Became a Carpentry instructor.,,,Participated in a Twitter chat.,Contributed to a Carpentry lesson.,,,,,,Used self-guided Carpentry lesson material.,,,Yes.,10,,,
,Faculty,,,,,,,,,Library Sciences,,,,,,1,6 months - 1 year ago,,,,,,OpenRefine,Python,,,,,,,Improving data management and project organization.,,,,,,,,,,Weekly.,Weekly.,I’m more confident now.,,,They are improving my ability to manage data.,,,,No.,,,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Learning about tools that I did not know existed to help me with my data needs. ,,,,,,,,,,Subscribed to the newsletter.,Attended at least one community call.,,Became a Carpentry instructor.,,,,Contributed to a Carpentry lesson.,,,,,,Used self-guided Carpentry lesson material.,,,Yes.,9,Decided to become an instructor.   I know that OpenRefine is a tool that can help me with my data cleaning jobs.," I must say I have not used OpenRefine much (I just haven't had the kind of job for which it would be useful during the time since the workshop) and will probably have to take the lesson by myself before being able to do anything useful with it. It is great to know that it exists, though, even if I need some refreshing. ","It would be great if there were more clear ways of increasing my knowledge in some of the software I learned. Other guides, advanced lessons that I can do by myself, etc..."
,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,0-6 months ago,,,,,,OpenRefine,,R,Spreadsheets,SQL,,,,Improving data management and project organization.,,,,,,,,,,Several times per year.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,No.,,"Automation in Python, more advanced data visualization",Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,The workshop reinforced the knowledge I already had and led me to have more confidence in it.,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,9,,,
,Industry,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,Subscribed to the newsletter.,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,,,,,,,,Participated in a Meetup.,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Other Academic Staff,Consultant,,,,,,,,,,Mathematics or Statistics,,,,1,6 months - 1 year ago,,,,,,,,R,Spreadsheets,SQL,Unix Shell,,,,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,,Reusing code.,,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,No.,,,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,Subscribed to the newsletter.,Attended at least one community call.,,Became a Carpentry instructor.,,,,,,,,,,Used self-guided Carpentry lesson material.,,,Yes.,10,,,
,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,Genetics,1,More than 1 year ago,,,,,,,,R,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,I had not been using tools like these.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,The results generated using R to analyze and/or manipulate my data are usually part of my research writing.,Python and a refresher in R would be great.,Neutral,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,"Truly the most important way the workshop has impacted me was by helping me overcome my fear of R.  I was so intimidated by R that I refused to use it for many years and therefore, was limiting myself a lot.  Although I am still learning R, at least I can say that now!  So thank you.",,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,Participated in an online short course.,Participated in a Meetup.,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Graduate Student,,Agricultural or Environmental Sciences,,,,Earth Sciences,,,,,,,,,1,0-6 months ago,,,,,,OpenRefine,,R,,,,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,,,,,Sharing code or data publicly on places like GitHub or FigShare.,,I had not been using tools like these.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Yes.,help with presenting and comparing a lot of simulation and observation data points wit different time scales,,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,It opened up a door of understanding ways i can  handle data,,,,,,,,,,,,,,,,,,I was not involved,,,,,,,none,No.,10,,,
,Academic Research Staff,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,,,,,,R,Spreadsheets,SQL,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Monthly.,Monthly.,I’m equally confident now.,,,They are improving my ability to manage data.,,,,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industry,,,,,,,,,,Life Sciences,Mathematics or Statistics,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,,,,,Python,R,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,Advanced topics e.g. parallellising code,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Confidence,,,,,,,,,,,,,Became a Carpentry instructor.,,Joined a mentoring group.,,Contributed to a Carpentry lesson.,,,,,,,,,Yes.,10,,,
,Industry,,,,Business,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,"The network I developed through being a student, contributor, and instructor for Software Carpentry was the most important part.",,,,,,,,,,Subscribed to the newsletter.,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,,,,Contributed to a Carpentry lesson.,,Participated in an in-person short course.,Participated in an online short course.,Participated in a Meetup.,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Postdoc,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,,Git,,,,,,,,,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,I don't remember.,7,,,
,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,6 months - 1 year ago,,,Git,,,,Python,R,,SQL,,I don't remember.,,,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Weekly.,Weekly.,I’m more confident now.,,They are improving my ability to analyze data.,,The tools I learned have not helped me with my work.,,,Not sure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faculty,,,,,,,,,,,,Physical Sciences,,,1,More than 1 year ago,,,Git,,,,,,,,Unix Shell,I don't remember.,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Monthly.,Less than once per year.,I’m equally confident now.,,,,,I am not using the tools I learned.,,Yes.,"The workshop was highly beneficial for my students who attended - sadly as a professor, I do not get to get my hands ""dirty"" as often with the coding.","Some of the same topics I have seen before (unix shell, python,...) would be beneficial for my new crop of graduate and undergraduate students.",Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Primarily through the skills gained by my students.,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,I don't remember.,7,,Primarily being applied by my students.,
,Faculty,,,,,Computer Science,,,,,,,Physical Sciences,,,3+,6 months - 1 year ago,,,Git,,,,Python,R,,,Unix Shell,,,Improving data management and project organization.,,,Transforming step-by-step workflows into scripts or functions.,,,,Using version control to collaborate online (in public or private repositories).,,,Monthly.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,HPC,Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,"code management (version control, testing)",,,,,,,,,,,,Became a workshop helper.,,,,,,,,,,,,,,Yes.,9,,,
,Academic Research Staff,,,,,Computer Science,,Engineering,,Library Sciences,,,,,,1,6 months - 1 year ago,,,Git,,,,Python,,,SQL,Unix Shell,,,,,,,,,,,,,Less than once per year.,Less than once per year.,I’m more confident now.,,,,,I am not using the tools I learned.,,Not sure.,,,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Industry,,,,,,,,,,,Mathematics or Statistics,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,,,,Using version control to manage code.,,,,Daily.,Daily.,I’m equally confident now.,,,,,I am not using the tools I learned.,,Yes.,It helped me back up code and documents as well as sharing them between my computers at work and at home.,,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't remember.,7,,"I now work in a Windows environment and with highly sensitive data, which limits my use of the shell and data sharing via github.",
,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Weekly.,Weekly.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faculty,,,,,,,,,,,,Physical Sciences,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,,,,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I’m more confident now.,,,They are improving my ability to manage data.,,,,No.,,,Neutral,Agree,Agree,Neutral,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,Participated in an in-person short course.,,Participated in a Meetup.,,,,,Yes.,8,,,
,Academic Research Staff,,,,,,,,,,,,Physical Sciences,,,2,0-6 months ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industry,,,,,,,,,,,Mathematics or Statistics,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,SQL,Unix Shell,,,,,,,,Reusing code.,Using version control to manage code.,,,,Less than once per year.,Several times per year.,I’m more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,9,,,
,Other Academic Staff,Government Employee,,Biomedical/Health Sciences,,,,,,,Life Sciences,Mathematics or Statistics,,,,1,More than 1 year ago,,,Git,,,,Python,R,,,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I’m equally confident now.,They are improving my overall efficiency.,,,,,,No.,,"Software engineering principles along the lines of McConnell's ""Code Complete"" or similar books.",Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,I see the impact as a long term investment.  I currently have no need for shell scripting etc but I can foresee this becoming important in the future in my work,,,,,,,,,,,,,,,,,,none,,,,,,,none,I don't remember.,7,Improved knowledge of Git (though I had been using github already by then).  First exposure to hands-on python scripting.,,
,Postdoc,,,,,,,,,,Life Sciences,,,,,2,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,I had not been using tools like these.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,It assisted in analyzing data contributing to my Ph.D. thesis and at least 2 publications. Additionally it will contribute to at least 2 more publications within the next 1-2 years and hopefully many more to come.,I would love to take a refresher for many of the courses and it is just time-constraint that has prevented me.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Programming was always something that I thought was difficult. Carpentry workshops eliminated that perception. So even if I just took 2 workshops, it was sufficient to teach me how to approach programming and enable me to use techniques that I thought were otherwise not possible for me.",,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,10,Please see 15.,,
,Industry,,,Biomedical/Health Sciences,,,,,,,,Mathematics or Statistics,,,,2,6 months - 1 year ago,,,,,,,,R,,,Unix Shell,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,I had not been using tools like these.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Not sure.,,"-shorter courses covering specific R packages like Tidy, etc  -database topics for beginners  -shorter course focused on data management  -basically any focused course that is maybe 1/2-1 day in length",Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,"The R course moved a bit fast, covering many topics that became difficult to follow or digest material for beginner, but ultimately provided me the base knowledge to expedite self-learning. I have since been using R to conduct analyses not otherwise possible and have made significant contributions to major projects at work.",,,,,,,,,,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Faculty,,,,,,,,,Library Sciences,,,,,,1,6 months - 1 year ago,,,Git,,,,,R,,SQL,,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Several times per year.,Monthly.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,,Open Refine,Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Exposure to and training in using R,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,7,,,
,Other Academic Staff,Research Staff,Agricultural or Environmental Sciences,Biomedical/Health Sciences,,,,,,,,,,,,1,6 months - 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Several times per year.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,I used the skills learnt to complete the analysis needed for my masters dissertation,More advanced python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Provided the fundamentals of python and GIT which has allowed me to improve my coding,,,,,,,,,,,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,2,More than 1 year ago,,,,,,,,R,,,,,,,,"Using databases, scripts and queries to manage large data sets.",,,Reusing code.,,,,,Less than once per year.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,I think more focus on data management and organization would be a great benefit to graduate students. ,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Data organization,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,8,,,
,Graduate Student,,,Biomedical/Health Sciences,,Computer Science,,,,,,,,,,1,0-6 months ago,,Cloud Computing,Git,,,OpenRefine,Python,R,Spreadsheets,SQL,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",,,,Using version control to manage code.,,,,Monthly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,"Docker, publication of reproducible research",Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,"My work until now has not been impacted so much, but I have learned more about Python and git, which I will probably use more. Also, I enjoy helping with Carpentry workshops.",,,,,,,,,,Subscribed to the newsletter.,,Became a workshop helper.,Became a Carpentry instructor.,,,,,,,,,,,,,Yes.,9,,I didn't have a use for it in my work so far.,I discovered that teaching these workshops is fun and having a hands-on introduction to certain tools (such as git and pandas) helps lower the barrier to start using it.
,Postdoc,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,0-6 months ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,,Reusing code.,,,,,Daily.,Daily.,I’m more confident now.,,,They are improving my ability to manage data.,,,,Not sure.,,Basic and advanced programming in Phyton,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,"Learning new tools, improving codes, getting more efficient",,,,,,,,,,,,,,,,,,"Not yet, but I am planning to attend another workshop soon",,,,,Used self-guided Carpentry lesson material.,,,Yes.,10,Improving codes  Learning new tools and possibilities for data management and analysis,,
,Industry,,,Biomedical/Health Sciences,Business,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Several times per year.,I’m more confident now.,,,They are improving my ability to manage data.,,,,Yes.,Used git to manage content of a scientific paper on which I was an author,,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Gained confidence in the use of git for source control and Jupyter notebooks for Python,,,,,,,,,,,,,,,,,,,,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,Yes.,9,,,
,Faculty,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,,,,SQL,Unix Shell,,,Improving data management and project organization.,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,I had not been using tools like these.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Reminded that the way I do science is deeply influenced by the fact that coding was my entry point to experimental research.,,,,,,,,,,,,Became a workshop helper.,Became a Carpentry instructor.,,,,,Hosted Carpentry workshops (>3) at my university,,Participated in an online short course.,,,Used self-guided Carpentry lesson material.,,,Yes.,10,,,
,Industry,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Several times per year.,Weekly.,I’m more confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Exposure to using Git and Python in reproducible data analysis.,,,,,,,,,,,,,,,,,,I have not had any further involvement,,Participated in an online short course.,,,,,,Yes.,10,1) implemented a Git repository for my team at work.  2) introduced the use of Python Notebooks (Jupyter) at for my team at work.,,
,Academic Research Staff,,,,,,,,Humanities,,,,,Social Sciences,,2,6 months - 1 year ago,,,Git,,,,,,,,Unix Shell,,,,,,,,,Using version control to manage code.,,,,Several times per year.,Several times per year.,I’m more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,"Helped consolidate things skills I had already begun to acquire, especially using Linux shell, so I'm more confident to use them in a range of situations.",,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,8,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,,,,,Python,R,,,,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,,,,,,,,,,,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,I don't remember.,5,,,
,Other Academic Staff,,Agricultural or Environmental Sciences,,,,,Engineering,,,,,,Social Sciences,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,Improving data management and project organization.,,,,,,,,,,Daily.,Less than once per year.,I’m less confident now.,,,,,I am not using the tools I learned.,,No.,,,Agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,"I learned that I was more out of my league in knowledge and skill than I expected, and I expected to feel ""behind"" other participants beforehand.",,,,,,,,,,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,No.,4,1. I got to know one of my peers better since she attended the workshop as well. 2. I got to understand Git a little better.,The skills I gained were not sufficient to help me complete my master's thesis. I have pursued a career with less of a programmatic data analysis approach since graduation.,It simply moved too fast for me and there were not enough assistants to help me catch back up to where the presenter was in the material.
