Workshop,ID,ToolCovered,RawData,WriteProgram,TechnicalQuestions,OvercomeProblem,ConfidenceSoftware,ProgrammingEasier,ImmediatelyApply,ComfortableLearning,ConfidentProgramming,ProgrammingEfficient,AccessibilityIssues,InstructorsClear,InstructorsEnthusiastic,InstructorsComfortable,InstructorsKnowledgeable,Recommend,Country
Social Sciences,1potha,R,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,94,South Africa
Genomics,,,,,,,,,,,,,,,,,,,
Genomics,1cabur,R,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,No,,,,,,
Ecology,1chrid,R,,,,,,,,,,,,,,,,,
,2yonia,R,Strongly agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Yes,Agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,ssssss,R,,,,,,,,,,,,,,,,,
I don’t know.,1igwyn,R,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Disagree,Yes,Agree,Agree,Agree,Agree,50,United States of America
I don’t know.,2plblu,R,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,Strongly agree,Agree,Strongly agree,Strongly agree,95,United States of America
Ecology,2sh500,R,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Agree,Agree,Agree,82,United States of America
Ecology,2caurs,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,Agree,Agree,Agree,Agree,100,United States of America
Ecology,1sasta,R,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Neutral,Agree,Neutral,Agree,75,United States of America
Ecology,2alrem,R,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Strongly agree,Agree,Agree,95,United States of America
Ecology,2hoagg,Python,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,No,Agree,Agree,Strongly agree,Strongly agree,90,United States of America
Reproducible Research,,,,,,,,,,,,,,,,,,,
Reproducible Research,3chtra,Python,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,0,United Kingdom
Reproducible Research,0biher,Python,Strongly agree,Strongly disagree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Disagree,No,Agree,Agree,Agree,Agree,83,United Kingdom
Reproducible Research,1behug,Python,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,No,Neutral,Strongly agree,Strongly agree,Strongly agree,73,United Kingdom
Ecology,4antal,Python,Agree,,,,,,,,,,No,Agree,Agree,Agree,Agree,85,United States of America
I don’t know.,2stmai,Python,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,,Agree,Agree,Agree,Agree,90,United States of America
Ecology,1susev,Python,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,No,Agree,Agree,Agree,Agree,78,United States of America
Social Sciences,0chcre,Python,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,No,Agree,Agree,Agree,Agree,100,United States of America
Geospatial,0sebel,R,,,,,,,,,,,,,,,,,
I don’t know.,2brcat,Python,Strongly agree,Disagree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Disagree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Agree,80,United Kingdom
Ecology,,,,,,,,,,,,,,,,,,,
Ecology,2klbow,R,Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,No,Agree,Strongly agree,Agree,Strongly agree,88,Canada
Ecology,3kehmt,R,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Agree,77,Canada
Ecology,1hobri,R,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,No,Disagree,Agree,Agree,Neutral,35,Canada
I don’t know.,0arval,R,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,99,Canada
Ecology,1joduk,R,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Agree,85,Canada
Ecology,2tasch,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Neutral,Strongly agree,Strongly agree,Neutral,100,Canada
Ecology,0mocro,R,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Canada
Ecology,1geoud,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,89,Canada
Ecology,2tocon,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Canada
Ecology,1lospa,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Canada
Ecology,1grcha,R,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Yes,Agree,Strongly agree,Strongly agree,Strongly agree,93,Canada
Ecology,7edflo,R,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Agree,Agree,Agree,83,Canada
Ecology,2brwaz,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,No,Strongly agree,Agree,Agree,Strongly agree,90,Canada
Ecology,4thmil,R,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,83,Canada
Reproducible Research,5VArou,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Canada
Ecology,1decyp,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,95,Canada
Ecology,1Frlar,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,95,Canada
Reproducible Research,1vreas,Python,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,5sl127,Neither,Strongly agree,Disagree,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,No,,,,,,United States of America
,6reagg,Python,,,,,,,,,,,,,,,,,
I don’t know.,1auagg,Python,,,,,,,,,,,,,,,,,
Ecology,3chdam,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Agree,Agree,Strongly agree,Agree,90,United States of America
Ecology,0inmcs,R,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,No,Agree,Agree,Agree,Strongly agree,95,United States of America
Ecology,1sd303,R,Strongly agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,No,Agree,Agree,Strongly agree,Agree,100,United States of America
Ecology,1chlak,R,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly agree,Neutral,No,Neutral,Agree,Neutral,Agree,30,United States of America
Ecology,4lapac,R,,,,,,,,,,,,,,,,,
Ecology,4miova,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Yes,Agree,Agree,Agree,Agree,100,United States of America
Ecology,3laken,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,4micre,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90,United States of America
Genomics,1kains,R,,,,,,,,,,,,,,,,,
Reproducible Research,2duhol,Python,Strongly agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,90,United Kingdom
Reproducible Research,2bowyt,Python,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Agree,Strongly agree,95,United Kingdom
I don’t know.,2samon,Python,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Neutral,Agree,Agree,Neutral,96,United States of America
Reproducible Research,0mafor,Python,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Yes,Neutral,Strongly agree,Agree,Agree,23,United Kingdom
I don’t know.,,,,,,,,,,,,,,,,,,,
I don’t know.,7vykhs,I don't know./I don't remember.,,,,,,,,,,,,,,,,,
Reproducible Research,3dafai,R,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Neutral,Agree,Agree,Strongly agree,100,United States of America
Genomics,4jutob,R,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,3prmas,R,,,,,,,,,,,,,,,,,
I don’t know.,2vebee,R,,,,,,,,,,,,,,,,,
I don’t know.,1Fawar,R,Strongly agree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,No,Neutral,Agree,Agree,Neutral,26,United States of America
Geospatial,1BALUT,R,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,No,Neutral,Agree,Agree,Neutral,100,United States of America
I don’t know.,,,,,,,,,,,,,,,,,,,
I don’t know.,0popar,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,1neatl,R,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,91,United States of America
Reproducible Research,2fodog,R,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly agree,No,Agree,Neutral,Disagree,Neutral,90,United States of America
Ecology,1grlak,R,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,No,Agree,Agree,Neutral,Agree,90,United States of America
I don’t know.,7ancre,R,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,No,Agree,Agree,Agree,Agree,90,United States of America
Ecology,1orhan,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,No,Strongly agree,Agree,Strongly agree,Agree,90,United States of America
I don’t know.,1qusou,R,Strongly agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,No,Agree,Agree,Agree,Agree,76,United States of America
Reproducible Research,5mowoo,R,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,2cobus,R,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,4watio,R,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,No,Agree,Agree,Agree,Agree,76,United States of America
I don’t know.,1clpen,R,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,No,Agree,Agree,Neutral,Strongly agree,71,United States of America
Reproducible Research,2sjkin,R,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,99,United States of America
I don’t know.,4prspe,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Yes,Strongly agree,Agree,Agree,Strongly agree,95,United States of America
Ecology,,,,,,,,,,,,,,,,,,,
I don’t know.,0GUKIN,R,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,2oscal,R,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,1locol,R,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90,United States of America
Ecology,0wamon,R,Strongly agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,No,Agree,Strongly agree,Strongly agree,Strongly agree,75,United States of America
Ecology,1wasun,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Strongly agree,Strongly agree,Agree,Strongly agree,100,United States of America
Ecology,1kawai,R,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,2oscal,R,,,,,,,,,,,,,,,,,
Reproducible Research,1exhig,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,No,Neutral,Neutral,Neutral,,70,United States of America
Ecology,5depow,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,No,Agree,Strongly agree,Agree,Agree,50,United States of America
Reproducible Research,2sjkin,R,,,,,,,,,,,,,,,,,
I don’t know.,3jasha,R,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,1prhic,R,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,No,Strongly agree,Agree,Strongly agree,Strongly agree,98,United States of America
I don’t know.,,,,,,,,,,,,,,,,,,,
Genomics,2ahpar,R,,,,,,,,,,,,,,,,,
Ecology,7saemr,R,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Genomics,0chmil,R,,,,,,,,,,,,,,,,,
Ecology,7lidri,R,,,,,,,,,,,,,,,,,
Genomics,3saesp,R,,,,,,,,,,,,,,,,,
Genomics,4wahea,Neither,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Disagree,Neutral,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Genomics,1cabri,Neither,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,98,United States of America
Genomics,,,,,,,,,,,,,,,,,,,
Genomics,3LCOLE,R,,,,,,,,,,,,,,,,,
Ecology,,,,,,,,,,,,,,,,,,,
I don’t know.,7ancre,I don't know./I don't remember.,,,,,,,,,,,,,,,,,
Social Sciences,,,,,,,,,,,,,,,,,,,
Reproducible Research,2mahav,R,,,,,,,,,,,,,,,,,
Ecology,3wijef,R,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,No,Agree,Agree,Agree,Strongly agree,96,United States of America
I don’t know.,1seshe,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,No,Agree,Strongly agree,Agree,Agree,100,United States of America
Ecology,,,,,,,,,,,,,,,,,,,
I don’t know.,1semid,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,0liseg,R,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,85,United States of America
I don’t know.,1yywas,R,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,95,United States of America
I don’t know.,2sobal,R,Disagree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,92,United States of America
Reproducible Research,,,,,,,,,,,,,,,,,,,
Ecology,1oxman,R,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,2liuni,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Agree,Agree,No,Agree,Agree,Agree,Agree,90,United States of America
I don’t know.,1rouni,R,Strongly agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Strongly agree,No,Agree,Strongly agree,Agree,Agree,98,United States of America
Ecology,0dafra,R,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90,United States of America
I don’t know.,2buuni,R,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,0dhkin,R,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,No,Neutral,Neutral,Disagree,Agree,65,United States of America
Reproducible Research,1wlwys,Python,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Poland
I don’t know.,1ursou,R,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,85,United States of America
I don’t know.,9ackin,R,Strongly agree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Strongly agree,,,,,,,
Ecology,6mosha,R,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,78,Ethiopia
Reproducible Research,,,,,,,,,,,,,,,,,,,
Ecology,4homar,R,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,100,Ethiopia
Ecology,1asark,R,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,No,Agree,Agree,Agree,Strongly agree,99,Ethiopia
Ecology,5etare,R,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,,Yes,Agree,Agree,Agree,Agree,75,Ethiopia
Ecology,5fisel,R,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,Strongly agree,0,Ethiopia
Ecology,2kease,R,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,81,Ethiopia
Ecology,4adwlo,R,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Agree,99,Ethiopia
Ecology,1deano,R,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Ethiopia
Ecology,5ztatf,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,No,Neutral,Agree,Strongly agree,Agree,85,Ethiopia
Ecology,4JIHOS,R,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,No,Neutral,Agree,Agree,Agree,76,Ethiopia
Ecology,7meked,R,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,No,Agree,Agree,Disagree,Agree,90,Ethiopia
Ecology,1adhai,R,,,,,,,,,,,,,,,,,
Ecology,5chadd,R,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,No,Agree,Agree,Agree,Agree,82,Ethiopia
Ecology,4zauba,R,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Ethiopia
Ecology,1as1dd,R,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Ethiopia
Ecology,6bideb,R,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Strongly agree,Strongly agree,Neutral,83,Ethiopia
Ecology,7medeb,R,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,No,Neutral,Agree,Agree,Strongly agree,97,Ethiopia
Ecology,9bokin,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Ethiopia
Ecology,1aaaaa,R,Strongly disagree,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Agree,80,Ethiopia
Ecology,2adwes,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,95,Ethiopia
Ecology,0jalan,R,,,,,,,,,,,,,,,,,
Ecology,2busw8,R,,,,,,,,,,,,,,,,,
Ecology,1coarc,R,,,,,,,,,,,,,,,,,
Ecology,,,,,,,,,,,,,,,,,,,
I don’t know.,0cd390,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Agree,Agree,Agree,90,United States of America
Reproducible Research,1mefor,R,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,1amsix,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,4jeedi,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,1methi,R,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,100,United States of America
Ecology,1orhun,R,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Reproducible Research,3arthi,R,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,97,United States of America
Ecology,4arcre,R,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,8kiswt,R,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,3tesou,R,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,No,Agree,Agree,Agree,Agree,88,United States of America
Reproducible Research,0faarc,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Reproducible Research,2saarc,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,3frfit,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Agree,Agree,Strongly agree,Strongly agree,86,United States of America
Ecology,2se92n,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,2casou,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,2mipar,R,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Yes,Agree,Agree,Agree,Agree,100,United States of America
Ecology,0blten,R,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Agree,90,United States of America
