When-Taking-Survey,First-Time,Research,Status,Status-Other,Involvement,Practical-Knowledge,Organize-Data,Use-OpenRefine,Import-Python,Import-R,Visualizations-in-Python,Visualizations-in-R,Construct-SQL,Use-command-line,Skill-Level-Prior,Skill-Level-Following,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Application,Worth-My-Time,Material,Recommend,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Effective,Instructors-Enthusiastic,Workshop-in-US,Age,Gender,Gender-Other,Race-American-Indian,Race-Asian,Race-Black,Race-Hispanic,Race-Islander,Race-White,Race-Prefer-Not,Race-Other
"I have recently completed the workshop, and am taking it after I left the event",yes,Labor Relations,Graduate student,,Very involved,Some practical knowledge,Agree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Most of the time,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Soil Science,Graduate student,,Somewhat involved,Some practical knowledge,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Most of the time,Always,Most of the time,Most of the time,yes,25-34,Female,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Ecology,Staff,,Enthusiastically involved,Some practical knowledge,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,45-54,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Social Science,Faculty,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Much higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Genetics,Post-doc,,Very involved,A great deal,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,High,Higher,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,,Graduate student,,Enthusiastically involved,A great deal,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Most of the time,yes,25-34,Male,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Ecology,Graduate student,,Very involved,Some practical knowledge,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,High,About the same,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Most of the time,Always,Most of the time,Most of the time,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Sociology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,NA/Not covered at this workshop,Neutral,Low,Higher,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-24,Male,,,,Black or African American,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Meteorology,Undergraduate student,,Very involved,Some practical knowledge,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Low,Somewhat higher,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Usually,Usually,Most of the time,Always,yes,45-54,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Atmospheric Science,Faculty,,Very involved,A great deal,Agree,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,High,Much higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,18-24,Male,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Water ,Undergraduate student,,Somewhat involved,Some practical knowledge,,,Strongly Agree,,Agree,,,,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,yes,45-54,Male,,,,,,,,Prefer not to say,
"I have just completed the workshop, and am taking it at the event",yes,Atmospheric Science,Undergraduate student,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Low,Much higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,18-24,Male,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Chemistry,Undergraduate student,,Enthusiastically involved,A great deal,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,18-24,Prefer not to say,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Atmospheric Science,Undergraduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Very low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Most of the time,Most of the time,Always,Always,yes,18-24,Male,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Atmospheric Science,Undergraduate student,,Very involved,A great deal,Agree,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Neither high nor low,About the same,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Most of the time,Most of the time,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Atmospheric Science,Undergraduate student,,Very involved,Some practical knowledge,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly disagree,Agree,Agree,Low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Most of the time,Always,Most of the time,Most of the time,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Health Sciences,Undergraduate student,,Very involved,Some practical knowledge,Agree,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Neither high nor low,Higher,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Usually,Always,Most of the time,Always,yes,25-34,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Modeling,Graduate student,,Very involved,A great deal,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,High,Higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Always,Most of the time,Most of the time,Most of the time,yes,18-24,Male,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Atmospheric Science,Undergraduate student,,Very involved,Some practical knowledge,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Low,Higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes,18-24,Male,,,,,,,White/Caucasian,Prefer not to say,
"I have just completed the workshop, and am taking it at the event",yes,Atmospheric Science,Undergraduate student,,Somewhat involved,Some practical knowledge,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Biometeorology,Graduate student,,Enthusiastically involved,A great deal,Agree,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Biorenewables,Undergraduate student,,Very involved,A great deal,Agree,Agree,Agree,NA/Not covered at this workshop,Disagree,NA/Not covered at this workshop,Agree,Agree,Neither high nor low,Higher,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Atmospheric Science,Undergraduate student,,Very involved,A great deal,Agree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,25-34,Male,,,Asian/Pacific Islander,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Biology,Post-doc,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Most of the time,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,,,,,Agree,Strongly Agree,Neutral,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,High,Somewhat higher,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,,,,,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Biomedical ,Graduate student,,Very involved,A great deal,Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Low,Higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Most of the time,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Library Science,Staff,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Most of the time,Usually,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Neuroscience,Graduate student,,Very involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neutral,Strongly Agree,Low,Somewhat higher,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Most of the time,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Genetics,Other (please specify),Graduate Student,Enthusiastically involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Most of the time,Always,Always,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Biology,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,yes,45-54,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Medicine,Graduate student,,Enthusiastically involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Very involved,Some practical knowledge,Neutral,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Neutral,Neither high nor low,Somewhat higher,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Always,Always,Always,yes,Prefer not to say,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Medicine,Other (please specify),Industry,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Neither high nor low,Much higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes,25-34,Female,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Very involved,Some practical knowledge,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Always,Always,Always,Always,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Neuroscience,Graduate student,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Most of the time,Always,Always,Most of the time,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,Staff,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,Agree,NA/Not covered at this workshop,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,High,Somewhat higher,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Humanities,Graduate student,,Very involved,A great deal,Strongly Agree,Neutral,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Strongly Agree,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no,35-44,Male,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Marine Biology,Post-doc,,Very involved,Some practical knowledge,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Neutral,Strongly Agree,NA/Not covered at this workshop,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Enthusiastically involved,Some practical knowledge,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly disagree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Environmental Science,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no,25-34,Male,,,,Black or African American,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Materials Science,Graduate student,,Very involved,Some practical knowledge,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neither high nor low,About the same,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Always,Always,Usually,Most of the time,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Auditing,Graduate student,,Very involved,Some practical knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Auditing,Graduate student,,Very involved,Some practical knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Social Science,Graduate student,,Somewhat involved,Some practical knowledge,Neutral,Neutral,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Neutral,Neutral,Disagree,Very low,Somewhat higher,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Usually,Most of the time,,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Health Sciences,Staff,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly disagree,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,Graduate student,,Somewhat involved,Some practical knowledge,Disagree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,Neutral,NA/Not covered at this workshop,Neither high nor low,About the same,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Usually,Most of the time,Most of the time,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Psychology,Post-doc,,Very involved,Some practical knowledge,Strongly Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,Neutral,Agree,Neither high nor low,Somewhat higher,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Water Studies ,Faculty,,Enthusiastically involved,Some practical knowledge,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Low,Somewhat higher,Agree,Agree,Agree,,Neutral,Agree,Agree,Strongly agree,Most of the time,Always,Always,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Plant Science,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,High,Somewhat higher,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Most of the time,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Environmental Science,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,Strongly Agree,High,Somewhat higher,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Humanities,Post-doc,,Somewhat involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Very low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Usually,Always,Most of the time,Always,no,18-24,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Biochemistry,Undergraduate student,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,High,Somewhat higher,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Most of the time,Most of the time,yes,25-34,Male,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Other (please specify),Government,Very involved,Some practical knowledge,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,45-54,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Marine Biology,Graduate student,,Very involved,Some practical knowledge,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Low,About the same,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Most of the time,Always,Most of the time,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Fisheries,Other (please specify),Government,Very involved,Some practical knowledge,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,NA/Not covered at this workshop,High,About the same,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes,18-24,Male,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Biology,Undergraduate student,,Very involved,Some practical knowledge,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,Neutral,Low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34,Male,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Enthusiastically involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,High,Somewhat higher,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Male,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Life Sciences,Graduate student,,Very involved,A great deal,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neither high nor low,Higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Always,Always,yes,18-24,Female,,,,,Hispanic or Latino,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Graduate student,,Somewhat involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neutral,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Social Science,Graduate student,,Very involved,A great deal,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,35-44,Male,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Faculty,,Very involved,A great deal,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Most of the time,Always,Always,Always,yes,Prefer not to say,Prefer not to say,,,,,,,,Prefer not to say,
"I have recently completed the workshop, and am taking it after I left the event",yes,Molecular Biology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes,18-24,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Other (please specify),Technician,Very involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,High,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes,35-44,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Medicine,Post-doc,,Enthusiastically involved,A great deal,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Strongly Agree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Most of the time,Most of the time,Most of the time,Always,yes,35-44,Prefer not to say,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Social Science,Other (please specify),Graduate Student,Very involved,A great deal,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Strongly Agree,NA/Not covered at this workshop,Very high,About the same,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,yes,25-34,Female,,,Asian/Pacific Islander,,,,,,
