End Date,NewDate,Please indicate your relevant fields or disciplines.��Check all that apply.,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,What is your current status? Check all that apply.,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,What operating system is on the computer you are bringing to the workshop?,How often do you currently use any of the following?,Column24,Column25,Column26,"Please rate your level of satisfaction with your current data management and analysis workflow (i.e. how you collect, organize, store and analyze your data).",Why are you attending this workshop? Check all that apply.,Column27,Column28,Column29,Column30,How did you find out about this workshop? Check all that apply.,Column31,Column32,Column33,Column34,Column35,Column36,Which of the following programming languages��is being covered in your workshop?,Please rate your level of agreement with the following statements:,Column37,Column38,Column39,Column40,Column41,Please share what you most hope to learn from attending this workshop.,In what country is your workshop being held?,With��what gender do you most identify?,Column42,How would you describe yourself? Choose one or more of the following groups.,Column43,Column44,Column45,Column46,Column47,Column48,Column49
12/8/17 8:48,2017-12,,,,Business/Economics,,,,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Monthly,Daily,Never,Never,Satisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,R,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,how to analyze data more effectively and with less error.,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/8/17 8:42,2017-12,,,,,,,,,,,,,,Social Work,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,From Rutgers University library,I don't know/I don't remember,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Data analysis to help doing my research paper in my current graduate school and future career and academic developmen.,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/8/17 7:58,2017-12,,,,,,,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Daily,Never,Never,Daily,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Very interested in data management and making my analyses more efficient,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/8/17 0:18,2017-12,,,,,,,,,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Not applicable,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,Python,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,I hope to learn the basics of the python language so that when I learn advanced statistical software (currently I only know SPSS) I can be a more proficient user.,United States of America,Female,,,,Black or African American(A person having origins in any of the Black racial groups of Africa ��� includes Caribbean Islanders and others of African origin.),,,,,
12/7/17 21:41,2017-12,,Bioinformatics/Genomics,Biomedical/Health Sciences,,,,,,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Apple/Mac OS,Never,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Agree,Agree,Agree,Agree,Agree,Skills for research and future job growth. ,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/7/17 20:36,2017-12,,,,Business/Economics,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Weekly,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Basic Python skills that can be applied to financial research.,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 20:13,2017-12,,,,,,,,Humanities,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Windows,Never,Several times per year,Never,Never,Very unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,Neither,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Data management. ,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 20:11,2017-12,,,,,Computer Science,,Engineering,,,,,,,,,Graduate Student,,,,,,,,,Windows,Weekly,Weekly,Weekly,Never,Not applicable,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 20:06,2017-12,,,,,Computer Science,,,,,,Mathematics or Statistics,,,,,Graduate Student,,,,,,,,,Windows,Monthly,Monthly,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Neutral,Neutral,Disagree,Agree,Neutral,Agree,,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 19:31,2017-12,,,,,,,,,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Very unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Understanding basics of programming language ,United States of America,Female,,,,Black or African American(A person having origins in any of the Black racial groups of Africa ��� includes Caribbean Islanders and others of African origin.),,,,,
12/7/17 19:30,2017-12,,,,Business/Economics,Computer Science,,,,,,Mathematics or Statistics,,,,,Graduate Student,,,,,,,,,Windows,Weekly,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 19:08,2017-12,,,,,,Earth Sciences,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Less than once per year,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Strongly disagree,Agree,Neutral,Strongly disagree,Neutral,,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 19:07,2017-12,,,,,,,Engineering,,,,Mathematics or Statistics,,,Finance,,Graduate Student,,,,,,,,,Windows,Weekly,Weekly,Several times per year,Never,Neutral,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,To get Ease with handling data,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 19:05,2017-12,,,,,,,,Humanities,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Unsatisfied,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Neutral,,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 18:54,2017-12,,,,,,,,,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Windows,Never,Several times per year,Never,Never,Unsatisfied,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Neutral,Disagree,Strongly agree,Agree,Disagree,Neutral,,United States of America,Female,,,,Black or African American(A person having origins in any of the Black racial groups of Africa ��� includes Caribbean Islanders and others of African origin.),,,,,
12/7/17 18:48,2017-12,,,,,,,,,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Neither,Agree,Agree,Agree,Agree,Neutral,Disagree,,"Korea, South",,,,,,,,,,
12/7/17 18:38,2017-12,,,,Business/Economics,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Less than once per year,Never,Never,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly agree,To analyze data more efficiently,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/7/17 18:23,2017-12,,,,,Computer Science,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Daily,Daily,Weekly,Several times per year,Neutral,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,,India,,,,,,,,,,
12/7/17 18:18,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Unsatisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,,United States of America,Female,,,,,,,,I prefer not to say.,
12/7/17 18:17,2017-12,,,,,,,,,,,,,,Administration,,Graduate Student,,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,As a requirement for my program/current position,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Disagree,Agree,Neutral,Neutral,Neutral,Prepare me for end of program capstone project research and data analysis component. ,United States of America,Female,,,,,Hispanic or Latino(a)(A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry ��� includes Portuguese and Brazilians.),,,,
12/7/17 18:13,2017-12,,,,Business/Economics,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Agree,Agree,Agree,Agree,Strongly agree,I need to learn how to deal with data.,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/7/17 18:08,2017-12,,,,,,,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Daily,Never,Never,Several times per year,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,R,Agree,Agree,Agree,Agree,Agree,Agree,"Better data management skills, particularly a system for data storage and retrieval. ",United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/7/17 18:09,2017-12,,,,,Computer Science,,,Humanities,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Apple/Mac OS,Several times per year,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,I would really like to get a grasp of mustliple coding language ,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/7/17 17:53,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/17 17:52,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/17 17:54,2017-12,,,,,,,,Humanities,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Windows,Never,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,,United States of America,Female,,,,,,,,I prefer not to say.,
12/7/17 13:17,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/17 18:54,2017-12,,,,,,,,,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Windows,Monthly,Several times per year,Never,Never,Neutral,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,My advisor/supervisor told me about it,,,Python,Agree,Agree,Agree,Agree,Disagree,Agree,I hope to learn more about SQL and Python as I am not very familiar with the two programmes since I have aonly used one of them briefly. I also hope to be provided with sources that I can use in order to be able to learn more about those on my own.,United Kingdom,,,,,,,,,,
12/6/17 18:20,2017-12,Agricultural or Environmental Sciences,,,,,,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Several times per year,Several times per year,Never,Never,Unsatisfied,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Neither,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Using professional tools to analyze the genomic data.,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/14/17 10:19,2017-12,,,,,,,,Humanities,,,,,,,,,,Faculty,,,,,,,Apple/Mac OS,Daily,Never,Never,Never,Unsatisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,,United Kingdom,,,,,,,,,,
12/6/17 8:28,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/17 5:22,2017-12,,,,,,,Engineering,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,To assist with my MSc research ,,,,,My advisor/supervisor told me about it,,,Python,Agree,Neutral,Neutral,Agree,Neutral,,,South Africa,,,,,,,,,,
12/6/17 3:03,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/17 19:49,2017-12,,,,,,,,,,,Mathematics or Statistics,Physical Sciences,,,,,,,,Government Employee,Research Staff,,,,Not sure,Weekly,Less than once per year,Monthly,Monthly,Satisfied,To learn skills that I can apply to my current work,,,,,,,,,,,An option with conference registration,Python,Agree,Agree,Agree,Neutral,Neutral,Agree,Improved skills and confidence in using python.,Australia,,,,,,,,,,
12/5/17 18:31,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/17 18:18,2017-12,,,,,,Earth Sciences,,,,,,Physical Sciences,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Daily,Never,Daily,Daily,Very satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,High level tips and tools for earth system data,Australia,,,,,,,,,,
12/5/17 17:57,2017-12,,,,,Computer Science,Earth Sciences,,,,,Mathematics or Statistics,Physical Sciences,,,,,,,,Government Employee,Research Staff,,,,Windows,Weekly,Several times per year,Weekly,Daily,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,,,,Part of conference registration,Python,Agree,Agree,Agree,Agree,Agree,Agree,What are effective practises in installing/using python I can share with my team instead of what I've figured out for myself which might not be best for others.,Australia,,,,,,,,,,
12/5/17 15:27,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Several times per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,I really want to improve my workflow and learn how to do correlative analyses.,Canada,,,,,,,,,,
12/5/17 9:18,2017-12,,Bioinformatics/Genomics,Biomedical/Health Sciences,,,,,,,Life��Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Never,Less than once per year,Less than once per year,Never,Not sure,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Agree,Agree,Agree,Agree,Neutral,Agree,data analysis,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/5/17 8:27,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Weekly,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/5/17 5:17,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/5/17 4:40,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/17 4:20,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/17 3:51,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,Research Staff,,,,Windows,Several times per year,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,R,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/5/17 3:21,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/17 2:42,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/17 0:33,2017-12,,,,,,,,,,Life��Sciences,,,,,,,,,,,Research Staff,,,,Windows,Less than once per year,Never,Never,Less than once per year,Not applicable,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,I hope that I can apply the skills I learn from this workshop at work. I hope this workshop cultivates more interest in learning programming and data management.,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/4/17 20:17,2017-12,,,,,,,,,,Life��Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Windows,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/4/17 19:06,2017-12,,,,,,,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Several times per year,Never,Never,Neutral,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/4/17 19:00,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/17 18:36,2017-12,,Bioinformatics/Genomics,,,Computer Science,,,,,,Mathematics or Statistics,Physical Sciences,,,,,Postdoctoral Researcher,,,,,,,,Windows,Daily,Monthly,Monthly,Daily,Not sure,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,,,iJOBS,R,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,How to manage an analyze genomic data,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/4/17 17:41,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Monthly,,,Several times per year,Not sure,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,Neither,Strongly agree,Neutral,Neutral,Neutral,Disagree,Agree,1-quality control for NGS  2- workflows ,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/4/17 17:08,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,,,
12/4/17 16:41,2017-12,Agricultural or Environmental Sciences,Bioinformatics/Genomics,Biomedical/Health Sciences,,,,,,,Life��Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Windows,Weekly,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,As a requirement for my program/current position,,Received an email about the workshop,,,,,,,R,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Learn and generate the pipeline to analyze data,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/4/17 15:52,2017-12,,,Biomedical/Health Sciences,,,,Engineering,,,,,,,,,,Postdoctoral Researcher,,,,,,,,Windows,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,,,it was offered through the iJOBS program,R,Agree,Neutral,Agree,Neutral,Disagree,Neutral,An introduction to programming with R and the ability to start applying it to my work.,United States of America,Female,,,,Black or African American(A person having origins in any of the Black racial groups of Africa ��� includes Caribbean Islanders and others of African origin.),Hispanic or Latino(a)(A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry ��� includes Portuguese and Brazilians.),,,,
12/4/17 15:18,2017-12,Agricultural or Environmental Sciences,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Never,Never,Never,Not sure,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Strongly agree,Disagree,Neutral,Neutral,Disagree,Strongly agree,,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/4/17 15:04,2017-12,,Bioinformatics/Genomics,Biomedical/Health Sciences,,,,,,,Life��Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Several times per year,Less than once per year,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,Read about it in a newsletter or university web site,,,,,,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,large data analysis of genomics and proteomics data,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
12/4/17 10:27,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,How/If I can apply programming and other bioinformatic tools to my data analysis,United States of America,Female,,,,,Hispanic or Latino(a)(A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry ��� includes Portuguese and Brazilians.),,,,
12/4/17 10:26,2017-12,,,,,,,,,,Life��Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Windows,Never,Never,Never,Never,Very unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,,United States of America,Male,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,,,
